vendor_name,brick_description,num_bricks,price
Brick Takeover ,Blue Plate 1 x 1,800,0.04
Nordic Brix,Blue Plate 1 x 2,206,0.04
Nordic Brix,Blue Plate 2 x 2,90,0.04
Nordic Brix,Blue Plate 2 x 4,149,0.04
Brick Takeover ,Bright Green Plate 1 x 1,210,0.05
Magic Magnus ðŸ›’,Bright Green Plate 1 x 2,43,0.04
Brick Takeover ,Bright Green Plate 2 x 2,39,0.24
Magic Magnus ðŸ›’,Bright Green Plate 2 x 4,44,0.05
Nordic Brix,Green Plate 1 x 1,501,0.03
Nordic Brix,Green Plate 1 x 2,135,0.03
Nordic Brix,Green Plate 2 x 2,77,0.04
Nordic Brix,Green Plate 2 x 4,304,0.05
Nordic Brix,Light Gray Plate 1 x 2,159,0.05
Magic Magnus ðŸ›’,Light Gray Plate 2 x 2,94,0.04
Magic Magnus ðŸ›’,Light Gray Plate 2 x 4,427,0.05
Magic Magnus ðŸ›’,Lime Plate 1 x 1,64,0.02
Nordic Brix,Lime Plate 1 x 2,19,0.01
Nordic Brix,Lime Plate 2 x 2,6,0.02
Nordic Brix,Lime Plate 2 x 4,4,0.02
Magic Magnus ðŸ›’,Orange Plate 1 x 1,238,0.02
Brick Takeover ,Orange Plate 1 x 2,54,0.01
Nordic Brix,Orange Plate 2 x 2,20,0.02
Nordic Brix,Orange Plate 2 x 4,16,0.02
Magic Magnus ðŸ›’,Yellow Plate 1 x 1,16,0.01
Nordic Brix,Yellow Plate 1 x 2,4,0.02
Nordic Brix,Yellow Plate 2 x 2,1,0.02
